_id,query,searched,downloaded
6387a609727ddf9f05e7f28c,Perceiver IO,2,-1
6387a609727ddf9f05e7f28e,Style-based Recalibration Module,1,-1
6387a609727ddf9f05e7f290,CycleGAN,200,-1
6387a609727ddf9f05e7f292,DE-GAN: A Conditional Generative Adversarial Network for Document Enhancement,0,-1
6387a609727ddf9f05e7f294,TanhExp,5,-1
6387a609727ddf9f05e7f296,EMEA,44,-1
6387a609727ddf9f05e7f298,TransferQA,0,-1
6387a609727ddf9f05e7f29a,DRPNN,0,-1
6387a609727ddf9f05e7f29c,WordPiece,198,-1
6387a609727ddf9f05e7f29e,CharacterBERT,1,-1
6387a609727ddf9f05e7f2a0,Spatial Feature Transform,200,-1
6387a609727ddf9f05e7f2a2,Protagonist Antagonist Induced Regret Environment Design,1,-1
6387a609727ddf9f05e7f2a4,Bayesian REX,5,-1
6387a609727ddf9f05e7f2a6,srBTAW (BTW),0,-1
6387a609727ddf9f05e7f2a8,Residual Attention Network,200,-1
6387a609727ddf9f05e7f2aa,Position-Sensitive RoIAlign,0,-1
6387a609727ddf9f05e7f2ac,Bidirectional GRU,200,-1
6387a609727ddf9f05e7f2ae,SuperpixelGridMasks,0,-1
6387a609727ddf9f05e7f2b0,uNetXST,1,-1
6387a609727ddf9f05e7f2b2,Monte-Carlo Tree Search,52,-1
6387a609727ddf9f05e7f2b4,Rotary Embeddings,2,-1
6387a609727ddf9f05e7f2b6,LFME,0,-1
6387a609727ddf9f05e7f2b8,HOPE,200,-1
6387a609727ddf9f05e7f2ba,SAFRAN - Scalable and fast non-redundant rule application,0,-1
6387a609727ddf9f05e7f2bc,Transductive Inference,3,-1
6387a609727ddf9f05e7f2be,ERU,71,-1
6387a609727ddf9f05e7f2c0,Weighted Recurrent Quality Enhancement,6,-1
6387a609727ddf9f05e7f2c2,Spherical Graph Convolutional Network,9,-1
6387a609727ddf9f05e7f2c4,DOLG,22,-1
6387a609727ddf9f05e7f2c6,Q-Learning,200,-1
6387a609727ddf9f05e7f2c8,GER,200,-1
6387a609727ddf9f05e7f2ca,Noisy Linear Layer,200,-1
6387a609727ddf9f05e7f2cc,AlphaStar,6,-1
6387a609727ddf9f05e7f2ce,Mesh-TensorFlow,98,-1
6387a609727ddf9f05e7f2d0,SepFormer,0,-1
6387a609727ddf9f05e7f2d2,Adaptive Instance Normalization,104,-1
6387a609727ddf9f05e7f2d4,CuBERT,2,-1
6387a609727ddf9f05e7f2d6,ParaNet,0,-1
6387a609727ddf9f05e7f2d8,WaveGrad DBlock,0,-1
6387a609727ddf9f05e7f2da,PointASNL,0,-1
6387a609727ddf9f05e7f2dc,Copy-Paste,200,-1
6387a609727ddf9f05e7f2de,Iterative Pseudo-Labeling,6,-1
